year,county,garbagegenerated,garbageclearance,garbagerecycled,foodwastesrecycled
113,澎湖縣,54128,24798,25167,4163
113,臺南市,1115689,449573,606741,59375
113,臺東縣,111106,45323,60870,4913
113,臺北市,1060454,309675,705699,45080
113,臺中市,1550189,533679,954145,62366
113,彰化縣,601387,242536,340888,17962
113,嘉義縣,296132,154107,129417,12608
113,嘉義市,172575,77004,88184,7387
113,新竹縣,301188,133375,160578,7236
113,新竹市,284327,126834,151640,5852
113,新北市,1965851,662007,1199741,104103
113,雲林縣,306681,142681,154803,9196
113,連江縣,6558,3204,2559,795
113,基隆市,224530,106032,115266,3231
113,高雄市,1681985,621962,990080,69943
113,桃園市,1230794,512830,672412,45552
113,苗栗縣,295902,124428,157371,14103
113,屏東縣,440457,206644,224780,9033
113,南投縣,232507,97959,128882,5666
113,金門縣,29593,7481,17643,4469
113,花蓮縣,157027,63910,87553,5565
113,宜蘭縣,232815,105994,120111,6710
112,澎湖縣,53195,24609,24039,4547
112,臺南市,1038517,379066,603509,55942
112,臺東縣,104459,40276,59438,4745
112,臺北市,989727,294274,647708,47745
112,臺中市,1685646,681185,949329,55132
112,彰化縣,642600,277943,351497,13160
112,嘉義縣,282058,146364,122477,13216
112,嘉義市,170519,74220,88508,7791
112,新竹縣,277480,107334,163398,6748
112,新竹市,274441,124412,143941,6088
112,新北市,1868648,680970,1083185,104493
112,雲林縣,299640,136943,152891,9806
112,連江縣,6092,2779,2273,1039
112,基隆市,220917,100921,116591,3405
112,高雄市,1641098,634025,948500,58573
112,桃園市,1288007,513457,732760,41790
112,苗栗縣,237548,120188,103274,14086
112,屏東縣,422449,208935,205206,8308
112,南投縣,232680,97896,129133,5651
112,金門縣,28182,7118,16658,4406
112,花蓮縣,155525,64114,85699,5712
112,宜蘭縣,229291,110015,112882,6394
111,澎湖縣,53313,24598,23986,4728
111,臺南市,1044655,395534,591184,57937
111,臺東縣,103285,39340,59343,4602
111,臺北市,768277,208756,508105,51415
111,臺中市,1625470,632395,931875,61200
111,彰化縣,643549,286214,342177,15158
111,嘉義縣,277418,143985,120155,13278
111,嘉義市,144607,58769,78421,7417
111,新竹縣,279398,106112,166354,6932
111,新竹市,205222,76818,123068,5336
111,新北市,2079410,924213,1045847,109351
111,雲林縣,283298,131839,140682,10777
111,連江縣,6693,2747,2434,1512
111,基隆市,224883,105728,115134,4021
111,高雄市,1538597,594604,902038,41955
111,桃園市,1336424,519228,771527,45669
111,苗栗縣,256417,116184,125511,14722
111,屏東縣,352341,144804,198970,8567
111,南投縣,219960,96630,117259,6070
111,金門縣,28892,7568,16672,4652
111,花蓮縣,151710,63534,82747,5429
111,宜蘭縣,234505,119824,106533,8148
110,澎湖縣,51738,23366,24084,4288
110,臺南市,990920,336948,596120,57851
110,臺東縣,101253,39653,56372,5228
110,臺北市,759391,208452,493402,57537
110,臺中市,1265065,477967,727411,59688
110,彰化縣,601838,270336,315019,16483
110,嘉義縣,198246,71038,114104,13104
110,嘉義市,141736,57027,78789,5919
110,新竹縣,262085,100395,153172,8517
110,新竹市,208750,83285,117214,8251
110,新北市,1565718,508879,938512,118327
110,雲林縣,253659,105685,135818,12156
110,連江縣,7378,2375,2866,2137
110,基隆市,218967,98273,115074,5620
110,高雄市,1362049,503607,829707,28734
110,桃園市,1277926,522055,723821,32050
110,苗栗縣,240057,103757,120680,15620
110,屏東縣,341499,139541,193712,8246
110,南投縣,211857,96396,108827,6634
110,金門縣,28042,7181,16091,4771
110,花蓮縣,150628,61747,82401,6479
110,宜蘭縣,191698,77188,105109,9401
109,高雄市,1423421,630796,761442,31184
109,雲林縣,248506,108507,126792,13207
109,金門縣,29422,7547,16579,5296
109,連江縣,8982,2531,3156,3296
109,苗栗縣,225505,95069,114211,16225
109,花蓮縣,148013,61104,80345,6564
109,臺東縣,99518,38885,55560,5072
109,臺南市,981281,370725,549139,61417
109,臺北市,781781,225475,495277,61028
109,臺中市,1131384,484229,578525,68630
109,澎湖縣,51808,25004,22167,4637
109,桃園市,1258474,490405,734366,33703
109,新竹縣,241352,95970,136285,9098
109,新竹市,205287,81760,111214,12313
109,新北市,1538164,536851,874191,127122
109,彰化縣,600957,276033,308338,16586
109,屏東縣,323866,133989,178799,11078
109,宜蘭縣,194981,78572,106585,9824
109,基隆市,211900,95298,110021,6581
109,嘉義縣,197386,72294,112498,12594
109,嘉義市,133008,54242,72090,6676
109,南投縣,212589,96743,108411,7436
108,高雄市,1337406,599299,707788,30319
108,雲林縣,240597,104631,121392,14573
108,金門縣,30520,7598,17181,5741
108,連江縣,9349,2036,4313,2999
108,苗栗縣,230367,97946,116772,15649
108,花蓮縣,140035,58743,74883,6409
108,臺東縣,92333,36269,50891,5173
108,臺南市,939359,391070,484945,63345
108,臺北市,797948,246461,489638,61849
108,臺中市,1200928,625368,534413,41147
108,澎湖縣,44920,17669,22916,4335
108,桃園市,1205645,459132,712205,34308
108,新竹縣,228858,92620,128122,8115
108,新竹市,189299,73752,105284,10263
108,新北市,1513068,621036,767853,124178
108,彰化縣,605015,279973,309805,15237
108,屏東縣,374278,174600,187529,12148
108,宜蘭縣,188119,75535,101485,11100
108,基隆市,204936,91572,105655,7709
108,嘉義縣,197237,76156,109895,11186
108,嘉義市,148858,65202,79221,4435
108,南投縣,204624,94185,102611,7827
107,高雄市,1250781,540478,629572,80731
107,雲林縣,228147,98654,112234,17259
107,金門縣,29671,7399,16467,5805
107,連江縣,7589,1926,3999,1664
107,苗栗縣,224966,95124,115628,14214
107,花蓮縣,126428,54853,66484,5090
107,臺東縣,91875,33995,49644,8236
107,臺南市,927086,417869,431904,77314
107,臺北市,750275,210570,470866,68839
107,臺中市,1267112,684982,538695,43436
107,澎湖縣,43914,17731,22146,4037
107,桃園市,1049837,449491,568369,31977
107,新竹縣,214693,89650,117706,7338
107,新竹市,193077,76240,102157,14680
107,新北市,1537668,647930,762756,126983
107,彰化縣,576392,283794,275369,17229
107,屏東縣,384301,196720,175412,12169
107,宜蘭縣,194797,81545,101266,11986
107,基隆市,204233,92687,99792,11754
107,嘉義縣,195499,72046,107809,15644
107,嘉義市,145016,66399,68790,9827
107,南投縣,190689,97258,84650,8781
106,高雄市,969900,389758,498632,81510
106,雲林縣,189601,87030,85951,16621
106,金門縣,31282,11292,16844,3146
106,連江縣,6743,2052,3379,1312
106,苗栗縣,210528,88723,109338,12466
106,花蓮縣,116202,50402,59876,5924
106,臺東縣,90794,35769,47273,7752
106,臺南市,671386,248062,349952,73372
106,臺北市,755026,205932,482330,66764
106,臺中市,863140,359137,460695,43308
106,澎湖縣,39771,15771,19635,4365
106,桃園市,890147,379199,488488,22460
106,新竹縣,176428,77846,90785,7797
106,新竹市,162587,61411,86845,14331
106,新北市,1158662,435972,609218,113473
106,彰化縣,418867,196132,207006,15729
106,屏東縣,307994,145751,151041,11202
106,宜蘭縣,165848,72720,85358,7770
106,基隆市,163651,65397,86505,11748
106,嘉義縣,184064,71384,99245,13435
106,嘉義市,99289,43874,48732,6683
106,南投縣,179696,87121,82411,10165
105,高雄市,926848,398095,439217,89536
105,雲林縣,198745,99856,86214,12675
105,金門縣,30972,14174,14663,2135
105,連江縣,6035,2111,2741,1183
105,苗栗縣,191217,89829,88922,12467
105,花蓮縣,112200,55229,51481,5489
105,臺東縣,88339,38543,42884,6911
105,臺南市,639667,240950,326283,72434
105,臺北市,783268,244574,470481,68213
105,臺中市,815996,366235,406782,42979
105,澎湖縣,37920,16397,17504,4018
105,桃園市,792116,387906,378295,25915
105,新竹縣,165179,74209,81101,9869
105,新竹市,152053,59256,80531,12267
105,新北市,990138,341979,525890,122269
105,彰化縣,401503,206095,181448,13961
105,屏東縣,299360,153963,134135,11262
105,宜蘭縣,165525,75598,75765,14162
105,基隆市,149929,64829,73229,11871
105,嘉義縣,183548,77709,92934,12905
105,嘉義市,93057,37004,47837,8216
105,南投縣,187571,89040,83335,15196
104,高雄市,897707,397597,411365,88745
104,雲林縣,194493,104851,78755,10886
104,金門縣,26552,13353,11554,1645
104,連江縣,6951,2112,3045,1795
104,苗栗縣,185419,89625,82011,13783
104,花蓮縣,110413,57742,45694,6977
104,臺東縣,77094,40978,30098,6019
104,臺南市,622117,256712,295987,69418
104,臺北市,857431,282756,500053,74622
104,臺中市,814876,392285,380776,41815
104,澎湖縣,34050,16151,13833,4066
104,桃園市,731654,374137,327426,30091
104,新竹縣,177928,84073,78967,14889
104,新竹市,166207,75803,79015,11389
104,新北市,940086,343261,471486,125339
104,彰化縣,385328,207444,166013,11871
104,屏東縣,271887,147061,112980,11847
104,宜蘭縣,171392,64812,75141,31439
104,基隆市,148558,66523,68615,13419
104,嘉義縣,174208,86216,76901,11091
104,嘉義市,96558,40183,47250,9125
104,南投縣,191953,92713,79805,19435
103,高雄市,923999,408745,419479,95775
103,雲林縣,191229,103670,73257,14302
103,金門縣,24173,11745,10808,1619
103,連江縣,7445,2363,3115,1968
103,苗栗縣,176116,90190,73198,12728
103,花蓮縣,107725,55789,44822,7114
103,臺東縣,80316,44608,29825,5883
103,臺南市,612732,256680,286507,69545
103,臺北市,840555,274166,488566,77824
103,臺中市,808879,384775,377447,46657
103,澎湖縣,33317,15738,13616,3963
103,桃園市,804316,353137,347147,104032
103,新竹縣,184356,89389,79445,15522
103,新竹市,172661,86838,75006,10818
103,新北市,1010705,388898,486810,134998
103,彰化縣,391688,208339,164028,19321
103,屏東縣,261259,143635,103153,14471
103,宜蘭縣,162188,63580,67903,30705
103,基隆市,144100,65380,66722,11998
103,嘉義縣,177456,93355,73598,10502
103,嘉義市,97413,40952,47269,9192
103,南投縣,187909,90697,75775,21437
102,高雄市,941987,427356,418807,95824
102,雲林縣,203887,113549,71779,18559
102,金門縣,23074,11721,9672,1681
102,連江縣,7062,2750,2169,2143
102,苗栗縣,173502,89651,71272,12580
102,花蓮縣,105220,55526,42219,7474
102,臺東縣,79276,45102,27863,6311
102,臺南市,602629,261806,272465,68359
102,臺北市,830676,267250,482462,80964
102,臺中市,798658,378209,368240,52209
102,澎湖縣,32864,16135,13059,3670
102,桃園市,766684,327920,329686,109078
102,新竹縣,178979,90403,71917,16659
102,新竹市,154847,76577,66729,11541
102,新北市,1067465,399825,513268,154372
102,彰化縣,430625,209703,169538,51384
102,屏東縣,260245,147958,96670,15618
102,宜蘭縣,166603,64959,70184,31460
102,基隆市,153786,68273,72973,12540
102,嘉義縣,193321,113029,67984,12309
102,嘉義市,100721,43312,47569,9839
102,南投縣,180366,89137,70587,20642
101,高雄市,953586,451252,411525,90809
101,雲林縣,202484,122956,63810,15718
101,金門縣,20906,11472,7676,1759
101,連江縣,7920,2557,2874,2489
101,苗栗縣,171780,90468,69427,11886
101,花蓮縣,102760,54260,40068,8432
101,臺東縣,79511,45420,27365,6726
101,臺南市,599453,269917,261671,67866
101,臺北市,843699,261524,494107,88067
101,臺中市,832013,394720,361663,75630
101,澎湖縣,32183,15814,12516,3853
101,桃園市,714860,299173,308114,107573
101,新竹縣,174708,94217,65998,14492
101,新竹市,156920,79352,64477,13091
101,新北市,1111862,441573,506379,163910
101,彰化縣,429744,213330,157748,58665
101,屏東縣,259621,154719,89318,15584
101,宜蘭縣,165589,65042,69527,31019
101,基隆市,147367,66761,67478,13128
101,嘉義縣,188747,110536,66183,12028
101,嘉義市,97837,46799,40414,10624
101,南投縣,177020,87527,68300,21193
100,高雄市,994684,500672,413490,80522
100,雲林縣,192742,123056,54789,14897
100,金門縣,19964,11423,6892,1649
100,連江縣,6456,2549,2481,1425
100,苗栗縣,171456,91826,67140,12490
100,花蓮縣,103997,54649,40385,8963
100,臺東縣,76047,44923,24451,6672
100,臺南市,626914,308179,254245,64490
100,臺北市,959025,378591,491820,88615
100,臺中市,781580,400094,312112,69374
100,澎湖縣,35357,18800,12709,3847
100,桃園市,671696,296606,284655,90435
100,新竹縣,168251,93107,61300,13845
100,新竹市,148758,75534,59635,13589
100,新北市,1051951,405976,460027,185949
100,彰化縣,440453,249740,137331,53382
100,屏東縣,263357,162215,84859,16283
100,宜蘭縣,170173,68655,70577,30941
100,基隆市,143749,67245,64018,12486
100,嘉義縣,184615,114296,60214,10104
100,嘉義市,104205,53918,39450,10836
100,南投縣,169799,88795,60600,20404
